+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                   ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; m_lab7_soc|mm_interconnect_0|sdram_s1_translator                                                                                                                        ; 77    ; 4              ; 3            ; 4              ; 65     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0|led_s1_translator                                                                                                                          ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0|onchip_memory2_0_s1_translator                                                                                                             ; 112   ; 7              ; 27           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0|sdram_pll_pll_slave_translator                                                                                                             ; 112   ; 6              ; 27           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator                                                                                                  ; 112   ; 5              ; 20           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0|sysid_qsys_0_control_slave_translator                                                                                                      ; 112   ; 6              ; 28           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0|nios2_qsys_0_instruction_master_translator                                                                                                 ; 113   ; 51             ; 0            ; 51             ; 105    ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0|nios2_qsys_0_data_master_translator                                                                                                        ; 113   ; 12             ; 0            ; 12             ; 105    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|mm_interconnect_0                                                                                                                                            ; 345   ; 0              ; 0            ; 0              ; 347    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|sysid_qsys_0                                                                                                                                                 ; 3     ; 16             ; 2            ; 16             ; 32     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|switches                                                                                                                                                     ; 46    ; 0              ; 32           ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|sdram_pll|sd1                                                                                                                                                ; 3     ; 1              ; 0            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|sdram_pll|stdsync2|dffpipe3                                                                                                                                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|sdram_pll|stdsync2                                                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|sdram_pll                                                                                                                                                    ; 38    ; 30             ; 30           ; 30             ; 34     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|sdram|the_Lab07_soc_sdram_input_efifo_module                                                                                                                 ; 49    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|sdram                                                                                                                                                        ; 49    ; 1              ; 1            ; 1              ; 41     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                               ; 41    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|onchip_memory2_0                                                                                                                                             ; 44    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_jtag_debug_module_wrapper|the_Lab07_soc_nios2_qsys_0_jtag_debug_module_sysclk   ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_jtag_debug_module_wrapper|the_Lab07_soc_nios2_qsys_0_jtag_debug_module_tck      ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_jtag_debug_module_wrapper                                                       ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_im                                                                    ; 97    ; 36             ; 93           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_pib                                                                   ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_fifo|the_Lab07_soc_nios2_qsys_0_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_fifo|the_Lab07_soc_nios2_qsys_0_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_fifo|the_Lab07_soc_nios2_qsys_0_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_fifo|the_Lab07_soc_nios2_qsys_0_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_fifo                                                                  ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_dtrace|Lab07_soc_nios2_qsys_0_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_dtrace                                                                ; 114   ; 0              ; 103          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_itrace                                                                ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_dbrk                                                                  ; 99    ; 0              ; 0            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_xbrk                                                                  ; 65    ; 5              ; 62           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_break                                                                 ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_avalon_reg                                                                ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_ocimem|Lab07_soc_nios2_qsys_0_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_ocimem|Lab07_soc_nios2_qsys_0_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_ocimem                                                                    ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci|the_Lab07_soc_nios2_qsys_0_nios2_oci_debug                                                                 ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_nios2_oci                                                                                                            ; 180   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|Lab07_soc_nios2_qsys_0_register_bank_b|the_altsyncram|auto_generated                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|Lab07_soc_nios2_qsys_0_register_bank_b                                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|Lab07_soc_nios2_qsys_0_register_bank_a|the_altsyncram|auto_generated                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|Lab07_soc_nios2_qsys_0_register_bank_a                                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0|the_Lab07_soc_nios2_qsys_0_test_bench                                                                                                           ; 305   ; 3              ; 271          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|nios2_qsys_0                                                                                                                                                 ; 149   ; 0              ; 32           ; 0              ; 131    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|led                                                                                                                                                          ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc|key                                                                                                                                                          ; 40    ; 0              ; 32           ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab7_soc                                                                                                                                                              ; 12    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
